"uri","name","author_name","author_movement","genre","abstract"
"http://dbpedia.org/resource/The_Architecture_of_Fear","The Architecture of Fear","Kathryn Cramer","Hard science fiction","Fantasy","The Architecture of Fear is an anthology of horror stories edited by Peter D. Pautz and Kathryn Cramer. It was published by Arbor House in October 1987. The anthology contains, among several other stories, the Gene Wolfe short story 'In the House of Gingerbread', which was original to the anthology and was nominated for a World Fantasy Award for Best Short Story. The anthology itself won the 1988 World Fantasy Award for Best Anthology."
"http://dbpedia.org/resource/Other_Voices,_Other_Rooms_(novel)","Other Voices, Other Rooms (novel)","Truman Capote","Southern Gothic","Southern Gothic","Other Voices, Other Rooms is a 1948 novel by Truman Capote. It is written in the Southern Gothic style and is notable for its atmosphere of isolation and decadence.Other Voices, Other Rooms is significant because it is both Capote's first published novel and semi-autobiographical.  It is also noteworthy due to its erotically charged photograph of the author, risque content, and debut at number nine on The New York Times Best Seller list, where it remained for nine weeks."
"http://dbpedia.org/resource/1982,_Janine","1982, Janine","Alasdair Gray","Postmodern literature","Erotic literature","1982, Janine is a novel by the Scottish author Alasdair Gray.   His second, it was published in 1984, and remains his most controversial work.  Its use of pornography as a narrative device attracted much criticism, although others, including Gray himself, consider it his best work."
"http://dbpedia.org/resource/Sartor_Resartus","Sartor Resartus","Thomas Carlyle","Romanticism","Comic novel","Sartor Resartus (meaning 'The tailor re-tailored') is an 1836 novel by Thomas Carlyle, first published as a serial in 1833�34 in Fraser's Magazine. The novel purports to be a commentary on the thought and early life of a German philosopher called Diogenes Teufelsdr�ckh (which translates as 'god-born devil-dung'), author of a tome entitled 'Clothes: their Origin and Influence', but was actually a poioumenon. Teufelsdr�ckh's Transcendentalist musings are mulled over by a skeptical English Reviewer (referred to as Editor) who also provides fragmentary biographical material on the philosopher. The work is, in part, a parody of Hegel, and of German Idealism more generally. However, Teufelsdr�ckh is also a literary device with which Carlyle can express difficult truths."
"http://dbpedia.org/resource/Sartor_Resartus","Sartor Resartus","Thomas Carlyle","Victorian literature","Comic novel","Sartor Resartus (meaning 'The tailor re-tailored') is an 1836 novel by Thomas Carlyle, first published as a serial in 1833�34 in Fraser's Magazine. The novel purports to be a commentary on the thought and early life of a German philosopher called Diogenes Teufelsdr�ckh (which translates as 'god-born devil-dung'), author of a tome entitled 'Clothes: their Origin and Influence', but was actually a poioumenon. Teufelsdr�ckh's Transcendentalist musings are mulled over by a skeptical English Reviewer (referred to as Editor) who also provides fragmentary biographical material on the philosopher. The work is, in part, a parody of Hegel, and of German Idealism more generally. However, Teufelsdr�ckh is also a literary device with which Carlyle can express difficult truths."
"http://dbpedia.org/resource/Mountains_Beyond_Mountains","Mountains Beyond Mountains","Tracy Kidder","Creative nonfiction","Health care","Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World (2003) is a non-fiction, biographical work by American writer Tracy Kidder. The book traces the life of physician and anthropologist Paul Farmer with particular focus on his work fighting tuberculosis in Haiti, Peru and Russia. The book won several awards and inspired a song by Arcade Fire, 'Sprawl II (Mountains Beyond Mountains)'."
"http://dbpedia.org/resource/A_Tree_of_Night_and_Other_Stories","A Tree of Night and Other Stories","Truman Capote","Southern Gothic","Short story collection","A Tree of Night and Other Stories is a short story collection by the American author Truman Capote published in early 1949.  The title story, 'A Tree of Night', was first published in Harper�s Bazaar in October 1945."
"http://dbpedia.org/resource/Music_for_Chameleons","Music for Chameleons","Truman Capote","Southern Gothic","Short story collection","Music for Chameleons (1980) is a collection of short fiction and non-fiction by the American author Truman Capote. Capote's first offering of new material in 14 years, Music for Chameleons spent an unprecedented (for a collection of short works) 16 weeks on the New York Times bestseller list."
"http://dbpedia.org/resource/Other_Voices,_Other_Rooms_(novel)","Other Voices, Other Rooms (novel)","Truman Capote","Southern Gothic","Bildungsroman","Other Voices, Other Rooms is a 1948 novel by Truman Capote. It is written in the Southern Gothic style and is notable for its atmosphere of isolation and decadence.Other Voices, Other Rooms is significant because it is both Capote's first published novel and semi-autobiographical.  It is also noteworthy due to its erotically charged photograph of the author, risque content, and debut at number nine on The New York Times Best Seller list, where it remained for nine weeks."
"http://dbpedia.org/resource/How_to_Be_Alone","How to Be Alone","Jonathan Franzen","Social realism","Essay","How to Be Alone is a 2002 book collecting fourteen essays by American writer Jonathan Franzen."
